#{"t_start": 1782232599.0823615, "env_id": "BipedalWalker-v3"}
r,l,t
-112.75845,1600,2.666447
-121.841621,110,2.854185
-117.975357,1600,5.534072
-107.668045,1600,8.212166
-106.935547,1600,10.878706
-103.630001,55,10.977608
-115.942331,64,11.09318
-106.232291,64,11.204594
-103.040651,53,11.300154
-103.168834,43,11.378397
-104.00644,51,11.469906
-101.52222,64,11.586564
-100.797072,88,11.738492
-86.959506,1600,14.397879
-104.902135,1600,26.559916
-105.564796,41,26.634522
-98.522776,1600,29.285653
-115.46326,1600,31.958318
-108.210091,43,32.041085
-107.904222,41,32.12084
-106.75364,37,32.189443
-106.902545,42,32.270713
-111.007331,40,32.346287
-107.089597,59,32.446949
-102.268158,89,32.604195
-95.689396,1600,35.276264
-105.726022,1600,37.939514
-106.279691,40,38.018347
-109.363369,1600,40.688407
-104.073716,1600,43.676706
-106.047871,35,43.744594
-106.488122,39,43.818099
-99.587729,1600,46.505079
-108.864712,56,46.613465
-104.854132,45,46.696343
-108.191679,44,46.784459
-103.557046,1600,49.459129
-104.272999,60,49.567689
-103.284265,57,49.670213
-104.723858,1600,52.361389
-103.607236,47,52.45063
-102.971797,1600,55.123292
-104.154188,1600,57.754799
-111.648564,113,57.944044
-112.197167,76,58.078794
-110.565201,54,58.172841
-89.81184,1600,70.074546
-106.927827,1600,72.708556
-111.187618,53,72.809019
-98.488009,1600,75.454706
-104.992589,69,75.576785
-97.448694,1600,78.239663
-97.710553,1600,80.895112
-107.080675,46,80.988025
-101.728485,1600,83.645391
-93.617502,1600,95.595014
-131.747869,502,96.424431
-110.271903,54,96.524856
-116.030278,293,97.016927
-85.07173,1600,99.67466
-90.376524,1600,102.31746
-98.160715,1600,104.962743
-86.966288,1600,107.621542
-108.509498,52,107.719882
-96.027666,1600,110.369991
-118.953411,412,111.064247
-101.994873,43,111.143666
-103.185841,196,111.474673
-106.775943,50,111.565832
-102.744881,149,111.817684
-101.87985,45,112.625892
-107.227844,36,112.692898
-102.321514,98,112.864018
-100.632256,55,112.962437
-106.420351,41,113.038449
-107.133581,48,113.128662
-103.604054,78,113.262605
-100.607081,69,113.38545
-100.83302,69,113.515171
-102.340061,54,113.611738
-100.374209,94,113.7768
-103.337472,55,113.875892
-102.113827,58,113.978486
-111.065381,259,114.418013
-103.124506,102,114.593136
-103.194882,55,114.69323
-93.910567,105,114.875299
-108.864264,55,114.973333
-107.048406,312,115.500986
-99.429309,104,115.680902
-100.287145,66,115.797303
-119.190737,71,115.919725
-115.596056,56,116.020197
-102.405086,200,116.369221
-116.926002,64,116.484722
-124.072751,455,117.243743
-105.420889,106,117.425619
-103.697173,52,117.522441
-96.653959,82,117.664168
-103.665135,131,117.891463
-105.633097,75,118.021229
-118.458168,55,118.120708
-150.828708,876,119.568679
-116.310504,66,119.686618
-102.481893,105,119.867146
-101.332512,101,120.03968
-104.575664,160,120.307519
-98.071577,110,120.502225
-104.05573,101,120.675072
-100.182961,162,120.945744
-107.433569,102,121.121948
-114.712545,73,121.253452
-95.30718,130,121.474182
-99.796844,82,121.616832
-102.41016,65,121.730909
-107.099518,48,121.817605
-108.536321,313,122.347784
-114.296682,68,122.469028
-110.539216,46,122.553126
-97.436835,72,122.679158
-96.214433,110,122.865947
-108.181952,233,123.261153
-117.348057,78,123.39414
-102.40926,94,123.559432
-98.076073,75,123.691018
-95.166106,112,123.891155
-112.957839,48,123.977081
-152.143345,1162,125.894653
-138.060383,729,127.093419
-105.561458,110,127.287895
-98.278557,101,127.462319
-101.410069,62,127.57219
-109.333122,48,127.661381
-103.590704,99,127.827704
-100.97653,95,127.998962
-94.994902,110,128.186975
-102.968461,134,128.414294
-103.176644,64,128.528708
-105.666005,243,128.940805
-101.623347,99,129.109044
-103.633218,84,129.254807
-103.394057,69,129.376885
-115.46649,75,129.508495
-99.197602,97,129.672237
-96.749891,106,130.707245
-104.611907,135,130.941906
-106.271111,220,131.31386
-108.795303,360,131.918001
-99.464894,107,132.100231
-116.366856,85,132.249331
-104.720611,154,132.516776
-146.050566,992,134.165616
-104.09403,173,134.458937
-105.69342,114,134.653509
-146.589653,975,136.264278
-107.102598,46,136.349625
-85.4985,1600,139.00103
-90.058473,1600,141.662493
-108.06054,45,141.7459
-103.968911,1600,144.401846
-91.194475,1600,147.061813
-99.489634,1600,159.129439
-86.159651,1600,161.813932
-105.299296,42,161.888916
-76.78407,1600,164.571782
-65.195616,1600,167.253348
-72.783355,1600,169.906946
-107.708483,46,169.990025
-75.289243,1600,172.64906
-77.659349,1600,184.579871
-72.095534,1600,187.230003
-63.804883,1600,189.881165
-63.67971,1600,192.547135
-65.413116,1600,195.208116
-64.031691,1600,197.887856
-63.663318,1600,209.99551
-61.575409,1600,212.646386
-67.299533,1600,215.300404
-114.933354,58,215.412433
-61.046321,1600,218.045126
-50.358383,1600,220.696968
-59.668484,1600,223.33357
-51.105879,1600,231.947733
-55.23497,1600,234.610585
-109.263899,46,234.694932
-61.322045,1600,237.354858
-120.782789,956,238.934753
-96.442577,71,239.064132
-104.717066,47,239.148029
-96.755306,79,239.288004
-97.709187,131,239.505878
-106.114698,48,239.599571
-105.916718,46,239.685076
-97.313238,228,240.063114
-92.190601,104,240.241498
-102.7079,80,240.381278
-93.147541,140,240.624844
-106.054391,290,241.113095
-107.665813,49,241.20283
-61.936301,1600,243.785306
-104.72994,182,244.084347
-142.901526,1011,245.740303
-113.542024,66,245.856698
-113.529898,85,246.003991
-106.902831,45,246.083295
-103.717111,382,246.716478
-110.689828,355,247.306237
-100.660818,96,247.470035
-92.890162,159,247.737326
-105.06961,198,257.488112
-101.111512,55,257.587376
-110.817922,464,258.35622
-104.71037,191,258.673988
-110.167053,182,258.981376
-103.647359,36,259.046687
-104.330675,147,259.296846
-109.625912,317,259.821523
-101.861436,82,259.967549
-99.782962,159,260.229118
-100.897894,132,260.455818
-99.667618,88,260.606299
-123.319208,102,260.78677
-131.378219,849,262.099675
-122.328635,949,263.596871
-106.849262,310,264.095372
-104.358752,129,264.308061
-92.403868,177,264.600627
-103.475356,114,264.785942
-110.467844,50,264.874568
-107.701283,44,264.951208
-100.326248,63,265.060789
-95.019001,104,265.23523
-112.790434,64,265.341389
-97.185202,110,265.528558
-94.285927,116,265.722467
-100.432133,67,265.83814
-95.996498,116,266.027534
-97.519457,102,266.199597
-107.949656,51,266.292492
-107.829091,74,266.42476
-96.932537,94,266.578477
-95.318022,90,266.731469
-108.119611,43,266.808355
-98.065799,104,266.982042
-101.743371,71,267.102477
-115.720265,122,267.305147
-99.460977,83,267.446148
-98.83814,111,267.629596
-98.505428,86,267.772125
-99.550349,102,267.944514
-97.553993,108,268.12579
-106.765673,47,268.211911
-106.706771,43,268.287789
-98.983977,103,268.460027
-104.805236,50,268.548341
-99.265001,79,268.681131
-108.346113,50,268.769331
-94.055153,96,268.93287
-91.755896,97,269.095221
-96.289513,89,269.245476
-103.547142,117,269.440218
-107.147926,224,269.802871
-97.286213,106,269.983987
-96.646871,167,270.25598
-96.413755,87,270.399421
-97.794983,91,270.560138
-107.716612,53,270.650713
-102.687971,80,270.787756
-100.317463,78,270.923121
-99.317798,71,271.041805
-99.917573,57,271.139841
-101.164386,46,271.223519
-103.12981,50,271.311838
-91.904794,104,271.487076
-94.168818,110,271.6719
-95.320063,99,271.835921
-106.368395,62,271.944187
-105.748986,49,272.028224
-102.662569,141,272.265329
-99.959383,170,272.54731
-102.452185,80,272.687672
-102.89805,77,272.820152
-106.35255,316,273.352289
-98.606942,137,273.58443
-116.38382,116,273.782671
-98.693394,194,274.76721
-101.772128,140,275.003235
-113.37116,49,275.090048
-96.9874,149,275.344591
-115.833223,508,276.185436
-94.534556,115,276.386081
-77.992839,407,277.054905
-97.983769,151,277.312445
-99.979071,118,277.515235
-106.61979,362,278.118581
-99.698874,288,278.604038
-85.832147,377,279.232076
-104.538734,376,279.857684
-66.414293,1600,282.512286
-111.393556,44,282.588021
