#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-111.875772,1600,155.588534
-100.039201,1600,168.512362
-103.985762,1600,171.288839
-96.605404,1600,174.038031
-109.395466,45,174.122962
-107.781947,1600,176.867843
-85.158714,1600,179.59934
-87.934151,1600,182.350139
-111.702757,43,182.431847
-106.304255,41,182.511637
-108.693029,46,182.598161
-108.440828,47,182.684369
-64.450695,1600,185.791522
-108.273267,47,185.882274
-65.616378,1600,188.612716
-88.250602,1600,191.363994
-60.10158,1600,194.108068
-70.636074,1600,196.917821
-90.427416,1600,199.741633
-105.906604,50,199.841643
-73.872281,1600,212.094854
-125.433779,697,213.288003
-108.551364,488,214.123025
-80.355507,1600,216.857252
-83.467577,1600,219.625429
-95.868156,1600,222.385685
-110.938042,54,222.494906
-76.867217,1600,225.248397
-90.01811,1600,228.007531
-93.597228,1600,240.700492
-96.553087,1600,243.453553
-105.630375,57,243.558062
-108.400981,50,243.658571
-103.326568,66,243.78008
-97.105323,1600,246.548315
-31.959148,1600,249.309805
-108.58124,1600,252.044436
-101.678612,59,252.155451
-105.939923,54,252.26196
-103.461531,68,252.38347
-62.314153,1600,255.130899
-100.829737,60,255.242126
-102.71396,44,255.326203
-103.339012,102,255.507703
-102.634301,1600,267.281677
-99.645449,69,267.408185
-101.525203,57,267.514695
-152.659153,1093,269.373708
-102.089394,69,269.500218
-116.98214,453,270.276155
-104.315977,137,270.512727
-99.97263,79,270.656436
-105.040559,141,270.908145
-54.242107,1600,273.643
-75.940929,1600,276.398459
-109.177139,52,276.494529
-106.740145,105,276.681281
-103.262448,95,276.855351
-102.729628,104,277.036616
-108.322849,47,277.128247
-111.370865,1600,279.849251
-179.387138,1269,282.419335
-106.70385,82,282.565352
-110.939621,41,282.644353
-117.750914,66,282.76237
-109.585972,93,282.925879
-109.482126,44,283.009388
-106.250814,104,283.194406
-213.510795,1542,285.812019
-111.279647,91,285.976037
-104.915398,104,286.160115
-150.079396,735,287.42928
-109.15749,56,287.53985
-106.737174,73,287.675682
-104.723035,91,287.836119
-114.009404,57,287.941062
-102.1812,104,288.128142
-199.786921,1471,290.654268
-106.828355,182,290.980888
-112.489386,249,291.416385
-118.13623,71,291.546002
-109.780678,81,291.690406
-108.990695,38,291.767423
-106.632494,100,291.951924
-104.936094,122,292.163296
-113.135472,58,292.27231
-109.295923,93,292.43482
-109.511929,65,292.553332
-110.786203,42,292.635838
-109.719113,44,292.714347
-109.113614,174,293.020573
-106.587965,37,293.095082
-105.550475,73,293.22459
-112.443445,86,293.378607
-109.723691,42,293.46161
-110.105991,40,293.540115
-105.978398,106,293.730134
-115.386637,66,293.849643
-108.156917,37,293.925153
-111.217528,50,294.023661
-121.092632,88,294.178639
-139.673726,519,295.066154
-140.982698,467,295.86472
