#{"t_start": 1782244383.1359236, "env_id": "BipedalWalker-v3"}
r,l,t
-98.248704,1600,1.730383
-113.467836,49,1.796908
-103.418386,98,1.899271
-80.931246,1600,3.614373
-111.077516,295,3.932829
-98.572078,190,4.155376
-113.648396,72,4.220385
-78.808708,1600,5.889895
-67.987352,1600,7.67494
-103.737098,67,7.752571
-114.007479,56,7.827197
-115.120643,69,7.890242
-112.053291,75,7.975564
-78.430158,1600,9.693252
-181.123671,1244,14.490814
-99.274757,81,14.594166
-95.497078,87,14.674158
-98.049834,95,14.757807
-188.453318,1181,15.979326
-104.789915,61,16.050151
-110.014707,38,16.096808
-105.408804,51,16.156127
-108.279775,32,16.197062
-99.395366,126,16.286742
-98.207191,118,16.392537
-173.100179,1200,17.68055
-122.036318,807,18.543425
-106.416494,57,18.61019
-95.848326,94,18.744525
-98.296311,78,18.847344
-98.950152,199,19.046055
-99.602439,378,19.436473
-70.732418,1600,21.091357
-110.699058,194,21.300697
-102.558405,59,21.394073
-110.698295,99,21.480436
-106.340992,163,21.683741
-112.99093,187,21.873416
-107.733623,191,22.11083
-111.257812,92,22.206099
-140.569669,545,22.770077
-105.202438,48,22.840238
-101.966731,103,22.947801
-104.459096,86,23.045916
-51.385231,1600,24.840962
-117.577814,83,24.943117
-82.404614,1600,30.596798
-89.940954,1600,32.239495
-72.715791,1600,34.088797
-101.180117,79,34.19142
-106.529728,51,34.254414
-112.141094,83,34.360605
-45.531454,1600,36.140067
-88.83164,1600,37.890347
-103.224708,76,37.968781
-73.887134,1600,39.710364
-64.233609,1600,41.715066
-110.874525,171,41.859401
-42.280866,1600,43.660847
-59.320613,1600,45.3954
-118.570642,881,46.345346
-103.529093,59,46.400362
-103.911079,110,46.50133
-111.74319,80,46.564717
-104.227559,308,46.899897
-96.504241,132,47.048833
-110.167717,58,47.117151
-105.396309,114,47.284202
-105.139722,143,47.432522
-121.94005,114,47.522535
-104.657376,69,47.607236
-113.140155,593,48.251211
-116.142996,88,48.384965
-118.319667,437,48.843484
-110.902441,431,49.29204
-107.757496,341,49.68753
-102.079218,76,49.766066
-109.388398,101,49.853873
-107.217611,92,49.969481
-108.825542,327,50.318375
-105.961528,77,50.418351
-102.319412,158,50.603198
-105.282254,82,50.669814
-96.888876,134,50.836628
-109.054256,232,51.925729
-103.755966,123,52.02626
-106.628405,96,52.146472
-104.845324,188,52.342866
-37.357769,1600,54.079353
-39.955878,1600,55.871217
-39.066104,1600,57.608672
-5.450072,1600,59.317144
-105.663091,47,59.359511
-103.659873,88,59.460203
-105.354797,49,59.515037
-103.703748,57,59.560706
-95.494964,1163,60.876153
-93.173931,91,61.0009
-106.009836,43,61.031025
-105.310007,48,61.080018
-105.566595,48,61.145152
-112.246045,68,61.245314
-107.841456,47,61.314584
-106.340775,47,61.362243
-104.112012,54,61.412781
-106.639905,46,61.477879
-95.733814,140,61.595308
-106.615008,46,61.640211
-106.026876,48,61.695767
-103.940124,56,61.766893
-106.780967,44,61.811537
-101.695481,83,61.896944
-107.005302,44,61.950927
-105.800825,47,62.001184
-107.082662,46,62.050027
-106.453668,47,62.117278
-107.094547,56,62.178393
-106.703641,48,62.245999
-93.451759,311,62.57983
-107.493932,45,62.645971
-106.765894,50,62.696548
-106.796725,49,62.767852
-105.664264,46,62.813291
-106.50797,49,63.178905
-104.523597,53,63.21378
-107.913382,45,63.271813
-100.366463,76,63.351279
-80.696369,166,63.52869
-97.049783,64,63.597103
-99.115082,82,63.680628
-104.941365,51,63.753963
-69.704552,880,64.730442
-106.90245,44,64.80123
-110.391713,71,64.881591
-115.868594,86,64.98756
-112.410398,73,65.049312
-100.262216,179,65.257486
-113.751435,102,65.34928
-105.854274,50,65.415261
-107.567885,48,65.479149
-106.65457,44,65.515651
-108.96404,56,65.598821
-106.044862,46,65.650306
-107.099025,54,65.720203
-82.085011,130,65.873836
-118.109827,81,65.956033
-105.742159,48,66.015629
-107.237671,46,66.061446
-89.247194,108,66.185118
-114.195697,93,66.265522
-102.682244,61,66.340818
-113.577182,70,66.382008
-108.880622,53,66.433149
-107.568252,44,66.51613
-107.005046,46,66.549503
-105.097295,51,66.603431
-105.486783,58,66.654127
-107.333785,59,66.7162
-109.301533,113,66.833078
-93.634221,147,67.00492
-111.081233,46,67.068273
-108.952587,40,67.120861
-107.33922,33,67.152097
