#{"t_start": 1782227811.9130917, "env_id": "BipedalWalker-v3"}
r,l,t
-105.0666,55,0.945102
-112.391786,1600,1.880584
-104.221626,47,1.909691
-106.261893,81,1.953249
-126.432936,1600,4.263388
-109.853371,1600,6.729854
-115.248952,1600,9.274048
-106.740731,52,9.313053
-115.361575,1600,11.679996
-107.323691,76,11.744965
-114.682668,58,11.794901
-109.654703,76,11.859764
-109.573886,42,11.897763
-107.520442,1600,13.274553
-108.573987,47,13.3105
-118.080879,1600,15.590345
-110.849749,1600,17.962318
-114.858327,1600,20.395825
-108.283368,1600,23.042185
-106.468514,48,23.086185
-107.326116,49,23.130691
-103.737007,39,23.168692
-109.260001,1600,24.37574
-101.550031,55,24.424252
-108.30499,1600,27.013812
-108.82541,61,27.066715
-104.710788,52,27.507503
-113.386661,1600,29.958449
-107.573977,1600,32.45193
-109.5421,1600,34.769771
-102.45294,1600,35.776893
-110.198289,1600,38.117945
-115.543421,1600,40.500888
-96.175689,1600,50.723272
-115.012559,1600,53.214006
-119.359409,1600,54.302775
-109.076889,1600,56.693069
-104.483127,1600,59.12078
-119.469409,96,59.174399
-103.432599,1600,61.655507
-111.322161,69,61.684566
-110.056138,1600,71.634032
-108.278965,51,71.681604
-95.391129,1600,72.719714
-97.401964,1600,75.146885
-81.441363,1600,77.886621
-88.066411,1600,80.636771
-101.324189,1600,81.945779
-95.950131,1600,93.21641
-95.151863,1600,95.790565
-108.118059,1600,98.365988
-79.573489,1600,100.830666
-92.935843,1600,101.918565
-78.519729,1600,104.386779
-86.632564,1600,114.218758
-69.592241,1600,116.628989
-70.737009,1600,117.646309
-74.870327,1600,120.201166
-75.021413,1600,122.756276
-81.829533,1600,125.312375
-68.82038,1600,127.866328
-77.87599,1600,136.074436
-55.596698,1600,138.4134
-39.191297,1600,140.933419
-49.037694,1600,143.493041
-72.175615,1600,146.06471
-32.688424,1600,147.278756
-23.985947,1600,156.981037
-23.729309,1600,159.530989
-31.690177,1600,162.146523
-11.068597,1600,163.213516
-71.067392,1600,165.695999
16.214512,1600,168.227886
1.11312,1600,177.842392
40.148328,1600,180.305739
35.027988,1600,181.507576
-110.006818,543,183.13785
-109.15407,58,183.193263
19.020344,1600,184.430714
-104.990796,925,186.440186
-93.517908,1473,188.884224
43.76514,1600,195.963708
-103.647273,262,196.177556
21.678054,1600,198.794331
26.765984,1600,201.417288
33.404193,1600,204.057921
42.447206,1600,206.469476
-65.645308,1481,207.571347
20.155492,1600,209.906248
-37.130848,1600,213.985156
5.397206,1600,216.568868
33.430911,1600,217.835005
0.987411,1600,220.44783
18.963345,1600,223.047705
31.710138,1600,225.661794
23.168043,1600,235.0706
6.436337,1600,236.251894
49.503102,1600,238.851139
53.719789,1600,241.494242
51.902855,1600,244.154248
-56.770872,1023,244.805384
-98.191144,275,245.030941
37.437083,1600,254.3474
50.495185,1600,256.707382
68.616958,1600,259.32428
-57.310764,1478,260.491293
-117.941395,310,262.108656
-90.550845,466,262.481486
49.910766,1600,265.033926
32.61382,1600,266.301261
-31.861468,1568,273.352969
45.998215,1600,275.724661
21.753225,1600,277.944496
64.304397,1600,279.198052
111.065002,1600,281.750155
50.789255,1600,284.295455
82.468297,1600,292.083693
59.989752,1600,294.255801
120.06333,1600,295.169771
109.308432,1600,297.558567
-108.291681,102,297.64664
-126.608193,168,297.785231
-75.519172,911,299.839267
77.716729,1600,302.386194
83.361611,1600,303.492796
-86.007414,563,305.282984
-16.947993,1367,312.508994
108.113373,1600,314.800124
71.994255,1600,317.145702
76.658265,1600,319.524437
52.436407,1600,320.593141
109.228902,1600,323.077402
67.042708,1600,332.726862
119.127317,1600,335.107162
88.85083,1600,336.215041
-100.013404,485,338.106264
-89.550366,487,338.504692
83.225986,1600,341.156396
95.123905,1600,343.784216
-64.348618,1160,344.69943
87.527457,1600,351.002983
99.443309,1600,353.561262
130.382916,1600,354.823352
98.780074,1600,357.602542
60.332685,1600,360.271347
-47.205056,1160,362.612894
-14.150595,1539,371.06303
99.161502,1600,373.356107
55.727972,1600,375.884115
-3.25767,1438,378.407417
-74.15755,1254,379.400427
85.850536,1600,381.969989
-111.147901,123,382.073073
88.558782,1600,384.705481
96.377433,1600,394.921306
123.173925,1600,395.990326
85.42221,1600,398.543916
92.443076,1600,401.328362
69.168897,1600,404.024633
98.078842,1600,405.315086
45.822488,1600,415.828629
72.95553,1600,418.357416
61.910048,1600,420.897194
106.133036,1600,423.999744
70.786942,1600,425.278035
109.673293,1600,427.711693
-93.400732,411,428.046694
97.638061,1600,437.691011
-42.208859,1147,439.763248
121.179065,1600,440.806441
103.572635,1600,443.248219
135.655247,1600,445.783388
-95.268789,495,446.137864
-87.185449,473,447.893195
131.326097,1600,448.938598
109.01462,1600,456.438544
91.143188,1600,458.984882
105.240306,1600,461.588448
29.048941,1539,462.808372
-142.139614,290,464.45314
-107.077599,91,464.532298
-91.148862,350,464.736979
142.482289,1600,467.163303
133.399403,1600,468.2467
85.106027,1600,477.203271
126.293718,1600,479.631026
164.576224,1600,482.045099
154.899472,1600,483.32139
114.895002,1600,485.967932
-23.610202,1036,488.135095
154.520893,1600,490.772085
175.819474,1600,497.695241
-63.744419,772,499.436879
156.625031,1600,500.468187
123.956089,1600,503.045384
154.733764,1600,505.703481
-9.241441,1183,508.013022
-7.629644,1033,508.83888
-6.506228,971,518.24823
-54.061148,766,518.777746
-103.462759,107,518.871306
-32.415993,482,519.260667
-107.262339,322,519.522152
-84.152654,311,521.086853
37.402952,1421,522.154348
167.36851,1600,524.767114
150.462224,1600,527.387037
-35.674741,767,527.999607
100.896987,1600,530.538455
164.955974,1600,540.725698
124.727298,1600,543.17444
9.994321,1350,544.054534
113.156945,1600,546.574472
173.156281,1600,549.048204
132.435119,1600,551.764226
159.215231,1600,561.22075
151.634408,1600,563.628885
96.66499,1600,565.973068
-1.715616,1228,566.782224
141.675966,1600,569.262039
176.084665,1600,571.933448
157.220581,1600,574.598799
119.820219,1600,584.573642
-78.190809,298,584.757976
136.806031,1600,587.073413
-77.318971,406,587.405498
125.712363,1600,589.816501
-72.23232,791,590.445758
184.439994,1600,593.147468
123.286536,1600,594.433819
169.868634,1600,605.433416
