#{"t_start": 1782227811.909226, "env_id": "BipedalWalker-v3"}
r,l,t
-99.783193,91,0.955847
-100.218203,81,1.505353
-102.101137,67,1.981759
-98.928875,76,3.278762
-119.044728,88,4.179528
-117.459186,72,4.925714
-165.472034,882,16.695896
-123.869307,205,19.080578
-126.049455,115,20.96978
-119.880309,91,22.70708
-111.022799,78,23.985275
-135.234866,181,27.066577
-128.317122,134,29.263734
-127.59056,222,32.540695
-106.6976,91,33.755879
-111.064219,87,35.0095
-123.339946,75,35.788786
-176.555822,981,47.740139
-208.419727,1487,68.465336
-101.35005,68,69.026664
-119.764789,112,70.687133
-129.375308,694,83.142578
-119.766601,473,92.011919
-104.120892,61,92.501315
-104.762557,107,93.698563
-102.733119,82,95.133278
-125.331398,131,96.848776
-105.353874,66,97.990536
-104.994514,55,98.637562
-103.0361,70,100.00843
-102.216324,63,101.046189
-106.403596,126,103.003026
-111.663559,100,104.316525
-129.199003,139,106.676092
-102.00487,90,107.976383
-101.392665,102,109.01204
-105.635552,63,109.729457
-114.217324,62,110.666879
-104.707649,61,111.191563
-103.121798,67,111.810056
-106.34731,84,112.584633
-101.104352,59,113.120074
-102.103862,59,113.624113
-104.384653,63,114.186627
-106.517526,56,114.750108
-135.622115,234,117.882766
-117.169044,188,121.152204
-115.488429,134,123.458367
-124.787776,159,126.296282
-133.20161,424,131.878076
-107.277618,92,132.678221
-116.822935,170,134.220414
-109.400072,62,134.799028
-106.36171,124,135.766395
-114.56064,115,137.76266
-105.764489,60,138.256334
-116.093548,80,140.190511
-103.696243,65,141.252896
-71.687405,1600,163.015434
-98.837856,82,164.574259
-100.239561,150,166.812973
-56.765032,1600,189.929217
-62.479435,1600,213.167167
-93.603277,1600,236.284492
-33.249137,1600,259.482776
-30.544556,1600,283.186981
-39.495337,1600,316.245068
-34.534324,1600,339.035178
-115.239887,57,340.084986
-95.864785,481,347.784003
-133.398498,156,349.67432
-100.192866,427,356.900656
-125.17345,124,359.157625
-115.796818,92,360.846941
-137.604879,163,363.833904
-141.385548,153,366.379019
-123.814969,131,367.815299
-115.720847,462,372.632165
-124.415298,156,374.425182
-128.726742,201,378.073157
-124.251004,142,380.560666
-110.009663,157,383.369952
-122.46412,148,386.009376
-128.319377,155,388.748376
-121.347314,148,390.092059
-135.562011,207,392.931586
-136.777445,105,394.48684
-123.962172,107,395.876432
-117.46659,73,396.994976
-124.784302,97,398.796066
-120.743733,120,401.256155
-117.456843,245,405.749984
-133.800148,178,408.835278
-143.371479,419,414.57374
-137.306649,184,417.702545
-122.149024,108,419.350243
-130.081436,126,421.242248
-101.934641,126,424.021627
-131.085824,135,426.296195
-118.392966,92,427.845783
-130.964961,126,430.291671
-141.851323,352,435.661511
-143.11371,196,438.42188
-104.875581,172,441.092501
-112.459535,465,450.091733
-117.66052,80,451.571658
-120.330577,229,455.343931
-138.90595,184,458.579057
-131.430363,235,462.354499
-128.010738,189,465.211871
-137.663938,240,468.335605
-68.337816,1600,495.390706
-65.066397,1600,517.286842
-195.912668,1262,537.185771
-190.279772,1179,555.372658
-68.646067,1600,580.012102
-44.215337,1600,616.187134
-55.086674,1600,642.136608
-14.292467,1600,667.685829
-35.963789,1600,692.376391
-40.805402,1600,717.296844
-134.978867,1297,737.231278
-99.66515,1600,764.933097
-101.873515,109,767.381178
-120.709909,104,769.51915
-106.687724,80,771.44714
-106.352628,40,772.214347
-64.122771,1600,812.101512
-106.220757,56,813.223356
-99.663213,113,815.769109
-106.045951,60,816.863319
-106.562753,69,818.12121
-107.572256,68,819.726977
-60.649733,1600,856.094632
-4.900495,1600,896.257938
-103.104347,154,900.501004
-21.710229,1600,936.206602
-139.882856,1446,967.896051
25.161911,1600,1006.580649
-40.20821,1600,1057.375877
-58.844633,1600,1096.676011
-77.757595,1600,1136.229253
-10.769418,1600,1175.074978
-83.92226,1600,1213.066195
-77.24252,1600,1250.274522
-75.760868,1600,1296.617212
-102.84348,1600,1325.160872
-112.777766,1600,1352.98543
-88.249065,1600,1380.646548
-85.702553,1600,1402.497433
-75.311626,1600,1424.6136
-12.825698,1600,1458.472023
-107.824334,65,1459.021695
-56.607584,1600,1483.334565
-100.689654,311,1487.485906
-92.283651,704,1498.212262
-122.728265,486,1506.790379
-109.080956,599,1515.157503
-68.36839,1029,1531.913396
5.525847,1600,1554.658884
-141.697171,767,1568.817931
-28.39105,1600,1592.377421
-16.768276,1600,1626.276143
-21.865774,1600,1650.209396
3.532275,1600,1674.793354
8.541841,1600,1697.97096
