#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-111.875772,1600,157.174019
-100.039201,1600,170.070015
-103.985762,1600,172.87184
-96.605404,1600,175.637878
-109.395466,45,175.724475
-107.781947,1600,178.484442
-85.158714,1600,181.227916
-87.934151,1600,184.02077
-111.702757,43,184.105919
-106.304255,41,184.185467
-108.693029,46,184.271292
-108.440828,47,184.359236
-64.450695,1600,187.465612
-108.273267,47,187.550399
-65.616378,1600,190.321114
-88.250602,1600,193.099197
-60.10158,1600,195.884987
-70.636074,1600,198.775729
-90.427416,1600,201.594749
-105.906604,50,201.693561
-73.872281,1600,214.042059
-125.433779,697,215.239863
-108.551364,488,216.088397
-80.355507,1600,218.861098
-83.467577,1600,221.667596
-95.868156,1600,224.432988
-110.938042,54,224.540337
-76.867217,1600,227.319423
-90.01811,1600,230.117122
-93.597228,1600,242.949516
-96.553087,1600,245.755292
-105.630375,57,245.859801
-108.400981,50,245.961312
-103.326568,66,246.082821
-97.105323,1600,248.867997
-31.959148,1600,251.61165
-108.58124,1600,254.392603
-101.678612,59,254.503112
-105.939923,54,254.609621
-103.461531,68,254.731867
-62.314153,1600,257.509932
-100.829737,60,257.620068
-102.71396,44,257.703508
-103.339012,102,257.884532
-102.634301,1600,269.742608
-99.645449,69,269.872126
-101.525203,57,269.979844
-152.659153,1093,271.859737
-102.089394,69,271.986677
-116.98214,453,272.770585
-104.315977,137,273.009331
-99.97263,79,273.156781
-105.040559,141,273.409699
-54.242107,1600,276.168622
-75.940929,1600,278.930732
-109.177139,52,279.029944
-106.740145,105,279.217192
-103.262448,95,279.39421
-102.729628,104,279.572227
-108.322849,47,279.664736
-111.370865,1600,282.398335
-179.387138,1269,284.989946
-106.70385,82,285.135454
-110.939621,41,285.215963
-117.750914,66,285.335472
-109.585972,93,285.50349
-109.482126,44,285.587
-106.250814,104,285.777019
-213.510795,1542,288.438903
-111.279647,91,288.603601
-104.915398,104,288.79073
-150.079396,735,290.063902
-109.15749,56,290.175429
-106.737174,73,290.311626
-104.723035,91,290.475639
-114.009404,57,290.581293
-102.1812,104,290.767634
-199.786921,1471,293.303098
-106.828355,182,293.629626
-112.489386,249,294.06913
-118.13623,71,294.196639
-109.780678,81,294.344147
-108.990695,38,294.418656
-106.632494,100,294.601672
-104.936094,122,294.815632
-113.135472,58,294.92414
-109.295923,93,295.086158
-109.511929,65,295.205666
-110.786203,42,295.289174
-109.719113,44,295.369683
-109.113614,174,295.680208
-106.587965,37,295.754212
-105.550475,73,295.886226
-112.443445,86,296.042735
-109.723691,42,296.127244
-110.105991,40,296.203938
-105.978398,106,296.399956
-115.386637,66,296.520464
-108.156917,37,296.596972
-111.217528,50,296.692482
-121.092632,88,296.848992
-139.673726,519,297.745791
-140.982698,467,298.552793
-107.910295,43,298.636603
-106.516492,41,298.715408
-134.474465,453,299.514201
-110.69646,65,299.632844
-105.989822,36,299.705235
-109.532474,60,299.817396
-105.421509,134,300.058577
-108.518511,1600,303.304016
-104.50491,51,303.400335
-107.083634,52,303.497136
-114.054882,108,303.691155
-104.098484,50,303.786391
-113.713015,93,303.961902
-127.770524,519,304.860047
-120.079669,108,305.055063
-105.240484,49,305.150572
-134.431924,784,306.518706
-101.328676,76,306.664219
-109.466428,49,306.758729
-99.002886,68,306.882744
-98.15673,90,307.043445
-110.82431,86,307.199463
-109.583652,377,307.867524
-108.761863,36,307.937029
-139.701268,754,309.256571
-106.680938,45,309.348733
-105.984246,40,309.426219
-102.883166,77,309.5666
-127.609035,876,311.088351
-101.670531,62,311.205567
-105.955579,57,311.312308
-77.365855,1025,313.115114
-103.818506,52,313.215161
-102.595655,45,313.301356
-104.220173,126,313.523368
-106.756993,62,313.636578
-102.519051,68,313.768218
-94.949722,247,314.189352
-95.745291,85,314.343744
-101.240104,75,314.484348
-87.484673,212,314.862108
-107.365547,51,314.95674
-100.98755,62,315.067493
-101.738394,54,315.166743
-106.22508,55,315.270791
-105.667743,50,315.360884
-99.842691,390,316.044793
-108.98108,58,316.155214
-108.289201,53,316.253042
-109.990028,56,316.360829
-92.915522,369,316.998999
-103.47324,1600,319.790178
-103.612531,252,320.245075
-105.869754,77,320.385826
-102.978847,73,320.522462
-96.902483,232,322.421971
-109.465973,129,322.656398
-121.375401,1600,325.435416
-95.273551,1600,328.217895
-104.821593,49,328.30907
-103.833427,125,328.539545
-109.407902,42,328.618001
-102.241152,56,328.722081
-89.235146,1600,331.493035
-102.51715,1600,334.27129
-67.811228,1600,337.06494
-102.895374,53,337.168876
-44.669557,1600,340.277268
-104.379482,42,340.356673
-100.788316,1600,343.123177
-99.986432,73,343.25687
-105.49036,49,343.349931
-105.764629,40,343.427952
-108.670796,47,343.519701
-104.60105,83,343.670638
-105.299172,52,343.765986
-104.522893,51,343.861784
-102.795742,38,343.939945
-103.546236,53,344.035402
-101.388344,50,344.128727
-101.653831,65,344.246514
-34.117008,1600,347.022112
-101.797092,86,347.18088
-114.590282,452,347.949851
-104.266064,66,348.071359
-103.864531,81,348.219396
-113.116282,1190,350.348359
-103.824688,86,350.507376
-129.954672,1600,353.283183
-120.109093,1600,356.04199
-117.035812,1600,369.116966
-105.249151,41,369.195674
-101.401992,1600,371.986974
-94.926703,1600,374.779674
-92.859442,1600,377.546462
-85.491728,1600,380.32283
-128.592958,532,381.240106
-158.190307,1384,383.610411
-103.665586,67,383.731964
-102.084095,84,383.883368
-105.436415,435,384.602645
-99.677302,1600,387.625868
-98.761038,335,388.188563
-59.094763,1600,390.891284
-100.771366,196,391.231229
-143.428253,946,392.855089
-103.771301,149,393.11834
-102.050741,83,393.270584
-91.636382,136,393.506087
-102.715283,45,393.590918
-35.465775,1600,396.351049
-104.564777,63,396.469142
-74.632009,1600,399.226871
-19.53928,1600,402.045851
-104.388147,53,402.14336
-102.716522,64,402.262871
-101.134028,54,402.364381
-101.552184,52,402.460889
-103.613225,57,402.5674
-101.482431,62,410.460303
-148.574423,1298,412.690989
-98.902445,65,412.810498
-101.187191,64,412.929012
-99.924157,51,413.024517
-102.441021,39,413.107025
-101.408577,63,413.220534
-103.193424,48,413.313043
-102.215527,43,413.392551
-103.584537,49,413.48606
-101.601168,51,413.580568
-102.003188,46,413.670077
-102.182343,51,413.765586
-103.099579,62,413.878095
-102.368361,51,413.971603
-100.558089,53,414.078111
-102.378632,61,414.1904
-102.150582,58,414.298909
-117.184235,110,414.502072
-103.261556,42,414.582582
-104.540466,60,414.69409
-101.165544,49,414.789599
-101.912445,66,414.913111
-103.384143,34,414.988772
-102.699029,46,415.074281
-103.827006,57,415.181915
-100.619144,60,415.293423
-101.532043,49,415.383933
-104.628768,44,415.469441
-103.18407,51,415.564626
-103.870608,50,415.661135
-101.521855,57,415.770643
-101.032873,53,415.868152
-102.87447,36,415.94566
-102.839709,57,416.050169
-102.293203,42,416.129172
-103.481491,48,416.221928
-102.64824,36,416.291436
-102.655744,48,416.384945
-102.088406,45,416.470453
-102.195584,51,416.566962
-106.522022,113,416.768978
-87.881069,1600,419.520735
-97.172782,1600,422.279346
-53.42214,1600,425.061786
-105.777496,76,425.19933
-65.530573,1600,427.936765
-140.037874,1600,439.161286
-58.495355,1600,441.953852
-0.725966,1600,444.783777
-71.557577,1600,447.552297
-73.736104,1600,450.290363
24.325238,1600,453.047911
-98.925038,238,453.458952
-24.78683,1600,456.545678
-93.995958,412,457.259248
-107.239141,170,457.563775
-114.383238,94,457.737791
-105.071057,152,458.001839
-107.883403,45,458.090724
-102.575557,268,458.555836
-109.312407,48,458.644125
-108.266413,71,458.77292
-100.92453,154,459.042392
-108.375972,65,459.1605
-103.299114,585,460.164195
-106.780915,40,460.240309
-107.894222,50,460.338484
-106.60327,41,460.416981
-106.740007,43,460.501185
-106.61301,51,460.595564
-72.093479,495,461.4461
-105.567587,121,461.659184
-107.620867,61,461.773656
-102.434878,221,462.158802
-105.668615,40,462.235391
-107.991454,43,462.31575
-111.15607,356,462.935654
-108.639202,37,463.004487
-111.963435,46,463.091649
-110.123851,56,463.195477
-91.57542,358,463.817691
-106.721116,44,463.900394
-120.614911,143,464.14672
-109.537783,52,464.245122
-106.330838,46,464.330504
-106.161761,44,464.416815
-108.010309,54,464.517378
-105.145353,46,464.604534
-104.573643,42,464.682213
-108.156581,43,464.771843
-106.676275,42,464.850799
-106.214034,53,464.951535
-106.641147,49,465.045418
-107.431271,66,465.16524
-103.364629,54,465.267214
-108.705063,50,465.359896
-113.194795,77,465.4985
-108.924504,94,465.668961
-103.081583,74,465.805491
-104.155169,91,465.966622
-110.361351,54,466.068392
-106.939866,104,466.248981
-103.31445,55,466.35156
-103.036819,54,466.452283
-104.070822,44,466.535721
-102.530989,59,466.65182
-103.369442,60,466.763467
-104.28972,43,466.845115
-112.920194,87,467.026119
-103.463251,60,467.13659
-102.444381,47,467.22411
-103.083331,107,467.414173
-101.225914,137,467.655065
-111.387156,58,467.765578
-104.698328,50,467.860086
-99.788459,88,468.016103
-104.068621,41,468.092614
-103.201684,59,468.201122
-105.184596,56,468.303632
-100.648652,76,468.45114
-103.149151,62,468.56265
-95.356364,154,468.829573
-102.303847,57,468.935895
-100.150681,79,469.076989
-103.333072,60,469.186756
-101.798742,136,469.42481
-128.154949,350,470.022103
-102.866067,55,470.123612
-102.352097,55,470.23112
-102.857693,59,470.341629
-103.258578,50,470.434139
-103.002202,54,470.535647
-103.814921,51,470.631157
-110.716066,44,470.717666
-109.560927,93,470.88068
-101.123154,263,471.34372
-110.1146,53,471.445953
-108.202312,367,472.825547
-97.513868,288,473.32309
-106.270441,1133,475.264152
-103.123466,47,475.361662
-109.653268,67,475.482679
-117.836084,315,476.024064
-103.39763,54,476.126573
-105.013275,57,476.235269
-103.647337,56,476.337778
-102.320637,147,476.598642
-101.599827,50,476.694152
-103.578079,47,476.783662
-111.577232,75,476.920908
-102.579937,52,477.021418
-102.817894,50,477.115926
-102.393836,46,477.208435
-102.932184,35,477.276438
-102.973284,48,477.365944
-101.527617,91,477.532962
-104.142691,45,477.617471
-104.852511,46,477.70498
-105.054882,45,477.792491
-105.299708,48,477.883
-105.392211,43,477.965001
-109.856227,78,478.114018
-104.095107,39,478.186258
-102.019712,60,478.297768
-104.885222,55,478.399276
-111.025297,84,478.553786
-102.967324,49,478.647295
-103.509333,62,478.760803
-103.577003,36,478.834312
-102.99414,53,478.930822
-104.244003,47,479.02833
-102.302356,61,479.140014
-107.626067,94,479.310032
-103.476322,47,479.396541
-101.188932,60,479.50805
-103.328182,38,479.585298
-103.253777,39,479.659298
-103.434633,33,479.725807
-102.848657,49,479.821316
-102.324872,44,479.907825
-107.230129,116,480.116843
-102.684857,48,480.207352
-103.016887,46,480.29886
-103.255469,75,480.43637
-100.587303,83,480.583385
-111.227188,105,480.770899
-104.054027,62,480.892914
-111.091118,42,480.97264
-100.664665,58,481.081149
-103.558416,63,481.194162
-100.805737,77,481.334671
-103.133916,76,481.471183
-105.36541,66,481.591198
-104.436256,89,481.752609
-102.148444,58,481.865119
-116.58214,99,482.041136
-110.967447,62,482.156645
-102.297668,51,482.252153
-100.659166,52,482.349464
-103.762044,41,482.429974
