#{"t_start": 1782231233.9887154, "env_id": "BipedalWalker-v3"}
r,l,t
-112.75845,1600,3.068524
-121.841621,110,3.269655
-117.975357,1600,6.136351
-107.668045,1600,8.970275
-106.935547,1600,11.772303
-103.630001,55,11.877811
-115.942331,64,11.996322
-106.232291,64,12.115336
-103.040651,53,12.216845
-103.168834,43,12.299582
-104.00644,51,12.39709
-101.52222,64,12.517107
-100.797072,88,12.679615
-86.959506,1600,15.460287
-104.902135,1600,28.397218
-105.564796,41,28.478728
-98.522776,1600,31.299602
-115.46326,1600,34.104065
-108.210091,43,34.189571
-107.904222,41,34.27508
-106.75364,37,34.348589
-106.902545,42,34.432098
-111.007331,40,34.511101
-107.089597,59,34.619004
-102.268158,89,34.779512
-95.689396,1600,37.563367
-105.726022,1600,40.34737
-106.279691,40,40.432983
-109.363369,1600,43.229265
-104.073716,1600,46.355961
-106.047871,35,46.426001
-106.488122,39,46.505687
-99.587729,1600,49.302554
-108.864712,56,49.406191
-104.854132,45,49.489621
-108.191679,44,49.582701
-103.557046,1600,52.377356
-104.272999,60,52.489882
-103.284265,57,52.594392
-104.723858,1600,55.40075
-103.607236,47,55.49626
-102.971797,1600,58.31918
-104.154188,1600,61.104958
-111.648564,113,61.303976
-112.197167,76,61.445711
-110.565201,54,61.54722
-89.81184,1600,74.427891
-106.927827,1600,77.231258
-111.187618,53,77.33277
-98.488009,1600,80.133929
-104.992589,69,80.263945
-97.448694,1600,83.097962
-97.710553,1600,86.084861
-107.080675,46,86.18337
-101.728485,1600,89.07384
-93.617502,1600,101.881359
-131.747869,502,102.755163
-110.271903,54,102.857936
-116.030278,293,103.38102
-85.07173,1600,106.084526
-90.376524,1600,108.7515
-98.160715,1600,111.394219
-86.966288,1600,114.031657
-108.509498,52,114.129183
-96.027666,1600,116.809945
-118.953411,412,117.528274
-101.994873,43,117.611782
-103.185841,196,117.954313
-106.775943,50,118.04882
-102.744881,149,118.310347
-101.87985,45,119.166933
-107.227844,36,119.238933
-102.321514,98,119.416952
-100.632256,55,119.520463
-106.420351,41,119.600973
-107.133581,48,119.693483
-103.604054,78,119.833991
-100.607081,69,119.963269
-100.83302,69,120.098292
-102.340061,54,120.200802
-100.374209,94,120.373562
-103.337472,55,120.478076
-102.113827,58,120.584587
-111.065381,259,121.043491
-103.124506,102,121.227511
-103.194882,55,121.330019
-93.910567,105,121.520772
-108.864264,55,121.62428
-107.048406,312,122.179334
-99.429309,104,122.368352
-100.287145,66,122.49086
-119.190737,71,122.620048
-115.596056,56,122.724559
-102.405086,200,123.084593
-116.926002,64,123.210101
-124.072751,455,124.00524
-105.420889,106,124.197791
-103.697173,52,124.297989
-96.653959,82,124.446911
-103.665135,131,124.688216
-105.633097,75,124.828312
-118.458168,55,124.931714
-150.828708,876,126.453211
-116.310504,66,126.579475
-102.481893,105,126.768189
-101.332512,101,126.948311
-104.575664,160,127.232033
-98.071577,110,127.439104
-104.05573,101,127.618505
-100.182961,162,127.905863
-107.433569,102,128.089224
-114.712545,73,128.22867
-95.30718,130,128.45751
-99.796844,82,128.611274
-102.41016,65,128.731415
-107.099518,48,128.821547
-108.536321,313,129.37627
-114.296682,68,129.503049
-110.539216,46,129.588845
-97.436835,72,129.72337
-96.214433,110,129.924391
-108.181952,233,130.346881
-117.348057,78,130.486897
-102.40926,94,130.662409
-98.076073,75,130.800425
-95.166106,112,131.013445
-112.957839,48,131.104954
-152.143345,1162,133.191543
-138.060383,729,134.597079
-105.561458,110,134.807603
-98.278557,101,134.998237
-101.410069,62,135.112592
-109.333122,48,135.206727
-103.590704,99,135.382596
-100.97653,95,135.558629
-94.994902,110,135.75471
-102.968461,134,135.998387
-103.176644,64,136.125209
-105.666005,243,136.563305
-101.623347,99,136.739321
-103.633218,84,136.891337
-103.394057,69,137.021848
-115.46649,75,137.166358
-99.197602,97,137.339375
-96.749891,106,138.431234
-104.611907,135,138.670255
-106.271111,220,139.058287
-108.795303,360,139.689663
-99.464894,107,139.880678
-116.366856,85,140.036088
-104.720611,154,140.316612
-146.050566,992,142.038306
-104.09403,173,142.341831
-105.69342,114,142.544847
-146.589653,975,144.221303
-107.102598,46,144.309461
-85.4985,1600,147.088948
-90.058473,1600,149.87289
-108.06054,45,149.960877
-103.968911,1600,152.776877
-91.194475,1600,155.552527
-99.489634,1600,166.766482
-86.159651,1600,169.566057
-105.299296,42,169.643026
-76.78407,1600,172.443553
-65.195616,1600,175.267718
-72.783355,1600,178.051608
-107.708483,46,178.141116
-75.289243,1600,181.004577
-77.659349,1600,193.888654
-72.095534,1600,196.753722
-63.804883,1600,199.617632
-63.67971,1600,202.483876
-65.413116,1600,205.270256
-64.031691,1600,208.059129
-63.663318,1600,220.861047
-61.575409,1600,223.637109
-67.299533,1600,226.41312
