#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-116.166267,1600,1110.858208
-108.696327,54,1112.037714
-108.70756,61,1113.36828
-118.187494,1600,1145.857306
-145.92089,1600,1179.689703
-113.211126,1600,1222.668628
-137.860874,1600,1253.957189
-140.170478,1600,1289.622262
-162.646264,1600,1321.730934
-164.238614,1600,1356.217086
-191.451328,791,1373.231405
-124.12319,1600,1407.532352
-134.59749,1600,1451.114583
-107.24683,71,1452.545791
-190.802501,834,1469.615241
-105.054112,62,1470.869517
-106.93568,68,1472.230934
-108.628216,51,1473.262756
-109.340667,75,1474.787458
-122.935294,120,1477.220246
-147.942782,450,1486.87491
-108.71086,62,1488.137986
-108.530886,69,1489.546053
-111.902434,77,1491.109697
-110.030773,70,1492.534322
-125.439255,161,1495.705987
-104.597766,65,1497.093945
-105.053471,51,1498.148282
-105.926456,61,1499.364127
-202.881245,1214,1524.954148
-109.040369,96,1526.919037
-157.542591,704,1541.212506
-106.799459,89,1543.032022
-263.649897,1519,1575.66398
-117.102612,134,1578.620292
-111.567022,50,1579.679686
-118.689363,152,1582.9622
-176.334843,690,1598.332142
-119.806407,81,1600.183859
-109.90894,46,1601.208893
-108.757134,45,1602.205938
-139.525902,585,1615.55214
-120.766489,116,1618.119338
-79.589647,1600,1665.000416
-111.74003,1600,1701.743227
-114.819171,330,1708.885129
-140.066569,563,1721.485241
-115.358318,317,1728.75746
-140.473069,1600,1766.117531
-129.952376,332,1774.058681
-108.159153,63,1775.501266
-110.678826,66,1777.016617
-88.709655,1600,1813.382041
-135.306543,1600,1849.417606
-118.632543,164,1853.087301
-102.0207,1600,1902.128352
-142.160404,1600,1938.19806
-139.453443,1600,1973.319702
-89.600928,1600,2008.26469
-128.30877,1600,2042.620085
-111.03946,1600,2076.465362
-119.621489,1600,2114.100257
-112.609284,1600,2144.433333
-128.394672,1600,2176.061028
-126.917745,1600,2207.224695
-118.667007,1600,2238.23682
-98.452855,113,2240.346264
-102.657418,1600,2269.848599
-122.550159,75,2271.279002
-91.437941,1600,2312.189734
-103.992334,1600,2344.192007
-134.971659,1600,2375.021675
-121.600756,1600,2405.739
-82.532514,1600,2437.542411
-115.364971,1600,2468.26774
-84.961506,1600,2500.67946
-129.620355,1600,2541.038195
-123.672762,1600,2570.387193
-88.440769,1600,2601.001287
-94.836736,1600,2630.263294
-120.392339,1600,2661.760895
-77.453643,1600,2686.158554
-138.014674,1600,2721.670367
-123.590288,1600,2740.013405
-86.614104,1600,2758.104414
-111.972755,1600,2776.385468
-123.375755,1600,2794.703362
-92.855448,1600,2812.812685
-134.020554,1600,2837.764505
-99.875057,1600,2855.818197
-103.867104,1600,2874.094625
-91.662333,1600,2892.890491
-102.773767,1600,2912.330567
-86.921297,1600,2931.155608
-101.832062,1600,2949.593016
-118.639399,149,2951.22366
-139.774247,309,2954.511664
-127.503993,1600,2971.919381
-125.932579,116,2973.003386
-137.17966,1600,2990.75141
-117.440355,55,2991.31408
-136.42985,1600,3008.880422
-126.580755,134,3010.37927
-135.530536,1600,3028.761206
-129.551368,1600,3048.617874
-115.250879,1600,3074.963137
-91.579667,1600,3092.715086
-123.982887,1600,3110.968614
-120.384842,1600,3128.613784
-108.774462,1600,3148.546843
-99.684278,1600,3167.955012
-59.802566,1600,3192.026428
-67.957668,1600,3210.425512
-100.713185,1600,3228.231804
-96.650755,1600,3246.601324
-97.834793,1600,3265.09268
-107.695379,1600,3283.231037
-103.321817,1600,3301.058273
-107.462557,1600,3323.841624
-114.364439,1600,3342.635479
-102.932389,1600,3360.822981
-104.964727,1600,3379.008451
-112.388819,1600,3396.61812
-109.283066,1600,3415.100104
-91.621358,1600,3440.420297
-90.19596,1600,3459.128986
-84.18002,1600,3477.822903
-103.472857,1600,3495.832924
-73.283984,1600,3514.776751
-105.870346,1600,3532.87623
-89.126493,1600,3558.464911
-123.198426,1600,3576.93157
-78.343154,1600,3595.429212
-115.816824,1600,3614.236722
-95.616412,1600,3632.958436
-106.088145,1600,3651.260401
-120.215815,1600,3677.285699
-72.62582,1600,3695.593714
-94.138774,1600,3714.459716
-103.761845,1600,3733.252866
-110.535603,1600,3751.239059
-117.620547,1600,3771.255798
-103.015199,1600,3789.734472
-110.466804,1600,3814.871295
-106.239936,1600,3833.929297
-103.048926,1600,3853.064331
-202.219883,1133,3865.431829
-124.716643,78,3866.34702
-102.525246,1600,3885.581538
-102.454266,1600,3904.113446
-113.073467,49,3904.651409
-129.827897,1600,3931.70172
-116.279754,49,3932.36888
-144.764721,1600,3951.266233
-139.998088,1600,3972.410593
-145.410444,1600,3992.589632
-143.779544,1600,4011.568942
-157.803277,1600,4029.078814
-158.320556,1600,4054.660367
-153.305194,1600,4074.57929
-102.144244,1600,4092.42105
-124.648286,1600,4112.042696
-123.221221,1600,4131.14773
-107.162777,1600,4148.353832
-93.381842,1600,4166.697298
-127.409862,1600,4193.098505
-132.812788,1600,4211.596403
-151.316236,1600,4230.99563
-112.222583,1600,4249.947383
-153.286276,511,4255.371628
-120.15646,317,4258.941019
-146.72063,1600,4277.366588
-129.860277,1600,4303.03136
-115.35,1600,4323.382058
-112.759212,1600,4342.846565
-114.495634,1600,4363.840394
-109.811888,1600,4383.168761
-119.76877,1600,4401.1498
-104.058731,1600,4420.257722
-94.707557,1600,4447.121329
-72.225473,1600,4465.818829
-61.17339,1600,4486.94696
-106.949545,1600,4504.467062
-107.956731,1600,4521.586443
-118.315956,1600,4540.074848
-123.318473,1600,4567.035156
-90.201389,1600,4585.799232
-70.184042,1600,4604.43201
-74.242237,1600,4624.014531
-88.66339,1600,4644.152406
-58.016677,1600,4662.734078
-116.615246,185,4664.568615
-76.395078,1600,4688.29177
-48.526406,1600,4706.955082
-61.502448,1600,4726.791658
