#{"t_start": 1782228417.7617912, "env_id": "BipedalWalker-v3"}
r,l,t
-120.916684,1600,1.318726
-122.959882,1600,3.940803
-108.507148,48,3.990925
-107.997284,47,4.035471
-110.406553,51,4.083086
-114.362487,1600,6.688529
-104.409008,40,6.729578
-109.91017,56,6.780622
-119.642962,1600,9.436791
-106.183236,55,9.489342
-112.155205,1600,12.137463
-113.873003,1600,13.121955
-106.575829,36,13.143025
-111.619377,1600,24.832297
-108.497165,1600,27.615174
-103.991749,64,27.677913
-106.983126,1600,30.461483
-111.249493,1600,33.195915
-102.986959,1600,34.405309
-111.181727,48,34.453352
-104.969914,63,34.517194
-106.682493,51,34.567762
-106.281895,68,34.634933
-118.933574,1600,37.303962
-112.80286,1600,48.777462
-109.761144,115,48.879507
-105.316501,1600,51.413725
-108.959809,57,51.468779
-102.972282,1600,53.994071
-95.424949,1600,55.341908
-107.878108,1600,58.169478
-108.446092,1600,60.858053
-99.734614,1600,71.753769
-101.894485,1600,74.195898
-102.820377,1600,75.253726
-104.620774,67,75.297264
-106.765611,67,75.331291
-92.480074,1600,77.923741
-103.452698,1600,80.547311
-79.613372,1600,83.266322
-87.918307,1600,92.957001
-91.664017,1600,95.635903
-90.591078,1600,98.22548
-111.275743,40,98.266705
-91.040246,1600,100.932662
-83.204474,1600,103.641272
-96.503927,1600,104.986769
-90.511365,1600,115.818488
-92.60541,1600,118.307845
-88.211619,1600,120.785548
-104.757658,1600,123.466787
-62.862418,1600,124.818774
-96.766083,1600,127.480495
-61.561461,1600,138.667987
-68.412784,1600,141.118959
-62.786353,1600,142.168255
-88.437202,1600,144.820023
-86.094401,1600,147.56856
-76.13836,1600,150.315042
-75.736227,1600,153.346516
-45.756308,1600,163.693624
-48.410465,1600,166.585272
-34.912516,1600,169.458786
-62.725153,1600,172.518211
-53.439481,1600,173.8628
-24.951245,1600,176.936589
-33.59142,1600,189.219044
-53.252118,1600,192.081289
-59.274031,1600,195.421776
5.574953,1600,196.749776
-43.103142,1600,199.761256
10.904082,1600,202.793653
-9.815678,1600,214.984584
-4.956106,1600,217.9604
-24.076227,1600,219.261693
3.735901,1600,222.350744
-4.103985,1600,225.46247
13.574321,1600,228.518198
-111.717697,68,235.065103
-14.596435,1600,245.584074
-5.136156,1600,248.567635
-55.951269,1600,252.040107
-110.200899,60,252.094698
-1.120028,1600,255.179513
20.16066,1600,258.761245
-111.032641,58,258.817894
9.798953,1600,260.114892
11.21396,1600,263.42406
-2.319643,1600,275.805372
-29.30423,1600,278.693075
30.943399,1600,282.912399
-116.700458,131,283.025835
60.89829,1600,284.326919
26.167349,1600,287.243145
26.497867,1600,293.063353
29.609605,1600,307.85443
59.651763,1600,311.142776
84.074621,1600,312.455546
97.263809,1600,315.550635
56.456857,1600,318.421225
76.062984,1600,321.283326
-31.649916,1428,335.60409
44.2359,1600,338.640338
-79.210493,901,351.153895
81.299284,1600,352.444787
-134.36261,322,352.71185
-70.3624,609,354.995257
35.260651,1600,357.850229
-104.000136,712,362.231572
49.745321,1600,365.19949
11.971016,1600,376.628602
52.497787,1600,379.84514
88.946044,1600,382.823009
80.294033,1600,385.654299
76.11894,1600,388.516398
60.215352,1600,389.80954
-129.683434,86,389.886944
57.700597,1600,401.408507
62.739792,1600,404.402557
111.952743,1600,407.376743
40.337014,1600,410.200872
-70.719416,1306,411.232068
-123.600029,74,411.298572
44.345424,1600,414.141059
87.955051,1600,424.895093
110.552806,1600,427.788442
129.127498,1600,429.086924
-114.423565,83,429.161259
-107.096199,69,429.222272
94.721095,1600,432.130754
81.932535,1600,435.007423
122.195425,1600,437.864569
117.105452,1600,449.531836
78.260615,1600,450.847885
134.451697,1600,453.767386
165.900992,1600,456.682087
-110.555321,46,456.728375
-110.719494,101,456.819315
100.050604,1600,459.688526
110.652061,1600,462.577249
-31.620175,1375,463.694432
99.314845,1600,475.657949
45.703719,1600,478.579073
142.677732,1600,481.488075
-117.271769,186,481.656832
100.042937,1600,482.967353
109.531646,1600,485.833426
124.147268,1600,488.663274
108.396047,1600,500.654204
101.988369,1600,503.564399
-104.594589,876,504.282536
151.829186,1600,507.186495
66.570276,1600,510.020841
103.04041,1600,511.328719
117.779021,1600,514.169701
114.452816,1600,526.220868
121.094504,1600,529.169369
98.384173,1600,530.460636
151.105086,1600,533.345467
106.138466,1600,536.185925
-112.165369,48,536.231719
-108.686477,77,536.303347
115.482187,1600,539.15278
93.654478,1600,551.198467
-109.333296,79,551.272752
141.15638,1600,552.564157
10.460881,1249,555.208631
112.992658,1600,558.085001
9.955839,1554,560.942569
-80.897236,731,561.540982
-22.378732,1307,564.199577
-104.161514,166,564.340826
86.623574,1600,574.743872
113.235976,1600,577.655106
127.083301,1600,580.682048
-122.148194,116,580.783953
-121.126611,85,580.858758
-110.696113,41,580.898666
-77.092399,492,581.294358
107.159466,1600,584.335023
-35.138294,757,586.601323
101.851914,1600,587.876743
120.770902,1600,600.777776
124.148063,1600,603.817871
-109.376908,87,603.942772
-30.262787,1325,606.768834
136.695244,1600,608.048906
143.472733,1600,611.011245
175.184426,1600,614.161332
152.857385,1600,616.97189
-74.261279,456,626.403226
118.563319,1600,629.468541
139.764919,1600,630.747918
100.021818,1600,633.808797
154.048122,1600,636.757238
124.989006,1600,639.624545
66.1896,1600,655.341755
-79.954715,529,655.783109
-101.473621,383,656.081817
-83.267918,1044,658.644437
-108.671859,618,659.153101
35.689764,1600,662.093669
-59.259363,1047,662.930855
-107.325702,78,663.001395
-129.307547,274,663.220882
65.571622,1600,666.284648
-93.072018,376,666.579288
-136.949237,197,666.737827
-88.039082,946,668.953594
-97.405859,810,669.584831
-112.149477,27,669.617831
76.274888,1600,750.027156
-98.114954,1190,752.757017
-79.794831,923,753.494341
-120.530337,526,764.947976
-111.338503,25,764.975491
-109.188976,1600,767.387344
-133.387974,154,767.48369
-117.338507,118,767.5498
-129.43305,771,769.349597
-51.834835,1224,770.142631
-111.22981,26,770.171684
-103.898056,395,770.476239
-124.149168,377,772.066567
47.379543,1600,781.192583
-92.174574,1517,783.533834
-70.938244,686,783.935173
-109.651657,58,783.965529
-102.785303,205,785.390859
-45.705346,1231,786.171285
-110.619148,1600,788.57499
-137.360318,219,788.683811
29.999774,1600,791.151575
9.591553,1600,793.539487
130.374503,1600,802.212482
29.525017,1600,804.786442
-35.037417,1363,807.143988
18.970116,1600,809.669442
37.557761,1600,810.869353
-111.10014,28,810.899859
-106.061485,1600,813.542506
64.543827,1600,815.922223
-69.285325,540,823.645157
76.391712,1600,826.04647
-109.02979,78,826.112374
-110.869817,27,826.14045
102.341917,1600,828.588864
69.279494,1600,831.018049
-97.868337,149,831.121813
-111.686693,1600,833.512743
71.25095,1600,834.448326
-98.959752,482,835.951456
-113.477313,30,835.983488
74.564513,1600,844.774453
-78.397579,977,846.867286
70.595485,1600,849.421318
-109.776667,38,849.459441
-114.338071,43,849.50274
94.317063,1600,850.757875
-84.129128,1097,852.834805
33.445786,1600,855.108708
-111.395569,27,855.149697
25.497405,1600,857.39768
-109.524687,79,857.469285
48.430513,1600,867.032896
-110.745318,44,867.07616
-113.011339,293,868.629335
-87.452879,519,868.998847
-128.524657,114,869.095981
-111.446066,28,869.129966
-91.612787,628,869.623812
149.844299,1600,872.025366
137.837901,1600,874.670141
-93.261537,984,875.23727
125.190535,1600,877.622644
-111.684025,43,877.675225
-111.998416,51,877.705922
20.022257,1600,888.186784
-113.182894,152,888.315286
-111.073586,28,888.348074
92.396439,1600,890.941898
-134.435349,189,891.035012
-113.231541,28,891.066609
-137.450072,207,891.237369
-108.275961,1600,893.897003
-110.014142,1600,895.201082
-111.532281,113,895.297066
-110.963155,27,895.330904
-112.707182,29,896.678643
58.694181,1600,897.936277
-109.589066,54,897.986067
24.118359,1600,900.584163
-113.795536,31,900.6236
34.442742,1600,911.194144
-20.716582,1600,913.796486
49.064416,1600,915.080159
30.618765,1600,917.723286
100.190355,1600,920.349413
17.983936,1600,922.868858
-112.621507,1600,933.383049
65.229997,1600,934.661074
84.960033,1600,937.315989
-86.964843,1581,939.951561
-117.712091,307,940.200345
-96.62689,639,940.715008
63.394827,1600,943.255396
